Unnamed: 0,star,T_KELT,err_T_KELT,T_TESS,err_T_TESS,T_other,remarks,err_diff,err_tot,T_final
0,RW Ari,,,0.35443437,1.491772962e-05,,,,1.5980600098411446e-05,0.35443437
1,X Ari,,,0.65118011,7.549117669999999e-06,,,,9.47787423874303e-06,0.65118011
2,UY Cam,,,0.2670395,4.3600000000000004e-07,,,,5.747261825419349e-06,0.2670395
3,RR Cet,,,0.55305291,3.3428131400000002e-06,,,,6.634404432869556e-06,0.55305291
4,SV Eri,,,0.7138098,1.74047143e-06,,,,5.98917050087646e-06,0.7138098
5,VX Her,,,,,0.45535897,value from AAVSO,,7.008262170222624e-06,0.45535897
6,RR Leo,0.4524032377,,0.45240403,6.79821337e-07,,,7.922999999965263e-07,1.0439810056868674e-06,0.45240363385000004
7,TT Lyn,0.5974311475,,0.59742899,1.7812966e-06,,,2.157499999988488e-06,2.7978248385347296e-06,0.59743006875
8,TV Lyn,0.2406520356,,0.240648687,3.7242012023e-07,,,3.3486000000082505e-06,3.369246014467834e-06,0.2406503613
9,TW Lyn,0.481861202,,0.48186019,1.7750202e-06,,,1.0119999999669282e-06,2.0432426949193046e-06,0.48186069600000003
10,RR Lyr,0.5668117801,,0.56682418,4.41447566e-06,,,1.239990000001523e-05,1.3162261027768372e-05,0.56681798005
11,V535 Mon,,,0.3328933,1.5029437e-07,,phased curve looks weird,,5.73267048482435e-06,0.3328933
12,V445 Oph,0.3970243585,,,,,,,6.505386482068921e-06,0.3970243585
13,AV Peg,0.3903816816,,,,,,,6.505386482068921e-06,0.3903816816
14,BH Peg,,,,,0.640993,value from Monson+ 2017,,7.008262170222624e-06,0.640993
15,AR Per,0.4255504703,,,,,,,6.505386482068921e-06,0.4255504703
16,RU Psc,,,,,,period answers very different; may not have a regular Blazhko period,,7.008262170222624e-06,
17,T Sex,,,0.32474749999999997,2.79386e-07,,,,5.7375063422116185e-06,0.32474749999999997
18,TU UMa,0.5576482961,,0.55766297,2.58581005e-06,,,1.467389999998403e-05,1.4899991772622304e-05,0.55765563305
