name,gal_lon_l,gal_lon_b,type
RW Ari,149.9940813498934,-40.8497159532488,c
X Ari,169.0826878804300,-39.8384007951978,ab
UY Cam,142.1797035635048,30.8011165346589,c
RR Cet,143.5442258230922,-59.8912630137366,ab
SV Eri,194.2628121201360,-53.4748492120746,ab
VX Her,35.2240805056402,39.0824046117083,ab
RR Leo,208.4295679379965,53.1036981844251,ab
TT Lyn,176.0697930042839,41.6511988627765,ab
TV Lyn,170.5137959542284,26.5502069312650,c
TW Lyn,176.1435989310818,27.5410243040816,ab
RR Lyr,74.9524342944418,12.3041052044788,ab
V535 Mon,214.0004061561435,4.8954678655138,c
V445 Oph,7.8995275003910,28.4451075657806,ab
AV Peg,77.4429996070532,-24.0536237893240,ab
BH Peg,85.6148940144131,-38.3560190660391,ab
AR Per,154.9283081617717,-2.2735520481013,ab
RU Psc,129.5933270115456,-38.1584678478211,c
T Sex,235.6429843297810,40.6050428984675,c
TU UMa,198.7887129225905,71.8680862749537,ab
