orig_spec_file_name,plate,mjd,fiberid,feh_sspp_single,error_feh_sspp_single,feh_rrlfe_single,error_feh_rrlfe_single
spec-0270-51909-0403g001.dat,0270,51909,0403,,,-1.946727380752572,0.0159342184307699
spec-0270-51909-0403g002.dat,0270,51909,0403,-2.104,0.032,-1.8046045055797408,0.0119793878983122
spec-0270-51909-0595g001.dat,0270,51909,0595,,,-1.661189477941711,0.0110911950765727
spec-0273-51957-0129g001.dat,0273,51957,0129,,,-1.2633870141499777,0.0122720804895365
spec-0273-51957-0523g001.dat,0273,51957,0523,,,-1.2028993829084609,0.0111671355866971
spec-0273-51957-0523g002.dat,0273,51957,0523,,,-1.5150043279482288,0.0109720063993804
spec-0275-51910-0382g001.dat,0275,51910,0382,,,-2.355277339036476,0.0093313295986893
spec-0275-51910-0413g001.dat,0275,51910,0413,-0.932,0.142,-2.1981458740183863,0.0107779729114272
spec-0275-51910-0496g001.dat,0275,51910,0496,,,-1.6653292358737644,0.0107767104021732
spec-0277-51908-0141g001.dat,0277,51908,0141,-1.221,0.04,-1.1356457226581338,0.0095238738397144
spec-0277-51908-0141g002.dat,0277,51908,0141,-1.081,0.084,-0.6561274020186805,0.0113716824030188
spec-0277-51908-0416g001.dat,0277,51908,0416,-1.373,0.124,-1.586785136718012,0.0099840856383785
spec-0282-51658-0136g001.dat,0282,51658,0136,-1.643,0.052,-0.5751437340491168,0.0217714539519675
spec-0282-51658-0174g001.dat,0282,51658,0174,-1.737,0.107,-1.5040233797364004,0.010673251690064
spec-0282-51658-0174g002.dat,0282,51658,0174,-1.777,0.01,-1.643579928396553,0.0117241759946053
spec-0282-51658-0208g001.dat,0282,51658,0208,,,-0.9440957268373272,0.0154454659147653
spec-0282-51658-0208g003.dat,0282,51658,0208,,,-1.5867731147332842,0.0103412541136545
spec-0283-51959-0396g001.dat,0283,51959,0396,,,-1.3288322824426195,0.0108855234756862
spec-0285-51930-0327g001.dat,0285,51930,0327,-1.738,0.081,-1.623499287325393,0.0106116071739147
spec-0285-51930-0532g001.dat,0285,51930,0532,-1.069,0.05,-1.4894106071682365,0.01032652302308
spec-0287-52023-0594g001.dat,0287,52023,0594,,,-1.0386945706972164,0.0092828608273905
spec-0287-52023-0594g003.dat,0287,52023,0594,,,-1.204930611516699,0.0096966051156571
spec-0288-52000-0025g002.dat,0288,52000,0025,,,-1320.001093339772,-999.0
spec-0288-52000-0577g001.dat,0288,52000,0577,,,-1.868295765577742,0.0100017808251409
spec-0289-51990-0532g001.dat,0289,51990,0532,-1.149,0.091,-1.484497353050536,0.0099259173742977
spec-0289-51990-0532g002.dat,0289,51990,0532,,,-1.394456601886784,0.0099903524796877
spec-0292-51609-0220g001.dat,0292,51609,0220,-1.598,0.062,-1.67499530605984,0.0105010587151498
spec-0292-51609-0220g002.dat,0292,51609,0220,,,-0.9154563668380472,0.0110283937503832
spec-0292-51609-0407g001.dat,0292,51609,0407,,,-1320.001093339772,-999.0
