,file,ut_epoch
0,RW_Ari_02.fits,2012-12-27 03:07:05.85
1,AR_Per_16.fits,2012-12-28 05:51:42.70
2,RR_Cet_02.fits,2012-12-22 02:20:51.45
3,SV_Eri_03.fits,2012-12-27 02:45:25.38
4,TW_Lyn_07.fits,2012-12-27 09:45:13.84
5,TU_UMa_07.fits,2012-12-24 12:50:19.08
6,TU_UMa_06.fits,2012-12-24 12:06:15.79
7,TW_Lyn_06.fits,2012-12-27 07:58:55.55
8,X_Ari__05.fits,2012-12-22 06:37:06.64
9,SV_Eri_02.fits,2012-12-25 03:51:13.02
10,V_535__01.fits,2012-12-25 05:39:44.88
11,TV_Lyn_03.fits,2012-12-24 08:18:29.07
12,AR_Per_01.fits,2012-12-21 04:14:22.28
13,X_Ari__09.fits,2012-12-28 04:08:26.95
14,RR_Cet_03.fits,2012-12-22 02:35:51.61
15,TT_Lyn_01.fits,2012-12-23 07:48:05.21
16,RW_Ari_03.fits,2012-12-27 04:04:11.28
17,X_Ari__02.fits,2012-12-22 03:34:40.90
18,TW_Lyn_01.fits,2012-12-22 07:05:09.26
19,RR_Cet_08.fits,2012-12-24 04:43:04.90
20,TV_Lyn_08.fits,2012-12-28 07:34:57.45
21,T_Sex__06.fits,2012-12-24 12:29:42.66
22,RW_Ari_04.fits,2012-12-28 02:01:29.47
23,AR_Per_10.fits,2012-12-22 07:39:54.86
24,TT_Lyn_06.fits,2012-12-24 10:42:02.60
25,RR_Cet_04.fits,2012-12-22 02:49:15.67
26,AR_Per_06.fits,2012-12-21 07:51:03.83
27,TT_Lyn_10.fits,2012-12-28 09:14:45.00
28,TV_Lyn_04.fits,2012-12-24 08:55:52.54
29,V_535__06.fits,2012-12-28 06:59:18.08
30,TV_Lyn_05.fits,2012-12-24 09:32:10.21
31,AR_Per_07.fits,2012-12-21 08:14:07.25
32,RR_Cet_05.fits,2012-12-22 04:08:28.99
33,AR_Per_11.fits,2012-12-24 03:23:39.71
34,RW_Ari_05.fits,2012-12-28 03:15:11.67
35,TV_Lyn_09.fits,2012-12-28 08:07:07.28
36,RR_Cet_09.fits,2012-12-27 01:30:30.61
37,X_Ari__03.fits,2012-12-22 05:01:23.35
38,T_Sex__04.fits,2012-12-23 11:44:59.36
39,TU_UMa_03.fits,2012-12-23 11:11:31.88
40,AR_Per_08.fits,2012-12-22 04:36:40.09
41,TW_Lyn_03.fits,2012-12-27 05:55:17.84
42,TT_Lyn_08.fits,2012-12-27 07:38:01.68
43,AR_Per_04.fits,2012-12-21 07:08:50.50
44,RR_Cet_06.fits,2012-12-22 05:26:39.18
45,TT_Lyn_04.fits,2012-12-23 10:28:56.26
46,AR_Per_12.fits,2012-12-24 06:06:39.66
47,TT_Lyn_05.fits,2012-12-23 10:39:55.90
48,AR_Per_13.fits,2012-12-24 06:25:43.06
49,RR_Cet_07.fits,2012-12-24 03:44:32.77
50,AR_Per_05.fits,2012-12-21 07:32:16.76
51,TV_Lyn_07.fits,2012-12-28 06:21:01.40
52,V_535__05.fits,2012-12-27 10:21:49.43
53,SV_Eri_06.fits,2012-12-28 03:49:38.71
54,TT_Lyn_09.fits,2012-12-27 09:23:36.66
55,X_Ari__01.fits,2012-12-22 03:23:15.78
56,TW_Lyn_02.fits,2012-12-22 08:01:00.62
57,AR_Per_09.fits,2012-12-22 05:57:06.72
58,TU_UMa_02.fits,2012-12-23 11:00:30.12
59,SV_Eri_01.fits,2012-12-24 05:38:07.50
60,V_535__02.fits,2012-12-25 06:12:41.12
61,AR_Per_02.fits,2012-12-21 04:27:07.07
62,TT_Lyn_02.fits,2012-12-23 08:01:35.64
63,AR_Per_14.fits,2012-12-24 06:48:31.97
64,T_Sex__02.fits,2012-12-23 08:37:39.81
65,UY_Cam_03.fits,2012-12-21 11:42:17.23
66,X_Ari__10.fits,2012-12-28 05:27:33.93
67,TW_Lyn_05.fits,2012-12-27 07:03:25.95
68,X_Ari__06.fits,2012-12-24 05:08:25.71
69,X_Ari__07.fits,2012-12-25 04:38:45.65
70,TU_UMa_04.fits,2012-12-23 11:22:37.61
71,UY_Cam_02.fits,2012-12-21 11:05:35.09
72,T_Sex__03.fits,2012-12-23 09:41:33.54
73,RW_Ari_01.fits,2012-12-27 02:09:44.74
74,AR_Per_15.fits,2012-12-25 04:16:23.67
75,RR_Cet_01.fits,2012-12-22 02:04:07.93
76,AR_Per_03.fits,2012-12-21 06:08:14.21
77,TV_Lyn_01.fits,2012-12-24 07:19:19.57
78,V_535__03.fits,2012-12-25 06:46:41.18
