,star,observatory,jd,mjd,hjd,bjd
0,AR_Per,ULMO,2456574.7461727164,56574.246172716375,56574.24914898726,56574.24991517952
1,AV_Peg,ULMO,2456593.585530523,56593.08553052321,56593.08826364531,56593.0890477299
2,BH_Peg,ULMO,2456563.6256096517,56563.12560965167,56563.13084948063,56563.13163110402
3,RR_Cet,MSO,2456576.665527001,56576.16552700102,56576.17122699408,56576.17200203593
4,RR_Leo,ULMO,2456604.945523701,56604.44552370114,56604.44460875924,56604.445375506046
5,RR_Lyr,MSO,2456465.6214169017,56465.121416901704,56465.12353050255,56465.12431266538
6,RU_Psc,MSO,2456602.7143788813,56602.21437888127,56602.21965403277,56602.220428745175
7,RW_Ari,MSO,2456313.55397374,56313.05397373997,56313.05463013996,56313.05539369793
8,SV_Eri,MtKent,2456580.032637601,56579.53263760079,56579.53739015335,56579.538161602584
9,T_Sex,MSO,2456275.820077917,56275.32007791707,56275.32224171376,56275.32301923439
10,TT_Lyn,MSO,2456606.766826824,56606.26682682382,56606.2679823299,56606.2687475973
11,TV_Lyn,ULMO,2456624.7995869503,56624.299586950336,56624.30344888264,56624.30421336485
12,TW_Lyn,MSO,2456606.87252401,56606.37252401002,56606.374990131844,56606.37575427074
13,V445_Oph,MSO,2456485.7029550914,56485.20295509137,56485.207011234445,56485.20780172412
14,VX_Her,ULMO,2456575.554209462,56575.0542094619,56575.05108934944,56575.05187518106
15,X_Ari,MSO,2456600.571822077,56600.071822077036,56600.077477526385,56600.07824746536
16,TU_UMa,MSO,2456679.7277474557,56679.227747455705,56679.23179014131,56679.23255808419
17,TV_Lyn,MSO,2456311.668142852,56311.16814285191,56311.17315241438,56311.173919395
18,UY_Cam,ULMO,2456575.775107364,56575.27510736417,56575.275331803394,56575.27609996129
19,V535_Mon,ULMO,2456610.8442205423,56610.34422054235,56610.347120376275,56610.34788480149
