star,jd,observ
AR_Per,2456574.7461727164,ULMO
AV_Peg,2456593.585530523,ULMO
BH_Peg,2456563.625609652,ULMO
RR_Cet,2456576.6655270006,MSO
RR_Leo,2456604.9455237007,ULMO
RR_Lyr,2456465.621416902,MSO
RU_Psc,2456602.7143788813,MSO
RW_Ari,2456313.55397374,MSO
SV_Eri,2456580.032637601,MtKent
T_Sex,2456275.820077917,MSO
TT_Lyn,2456606.7668268234,MSO
TV_Lyn,2456624.7995869503,ULMO
TW_Lyn,2456606.87252401,MSO
V445_Oph,2456485.7029550914,MSO
VX_Her,2456575.554209462,ULMO
X_Ari,2456600.5718220766,MSO
TU_UMa,2456679.727747456,MSO
TV_Lyn,2456311.668142852,MSO
UY_Cam,2456575.775107364,ULMO
V535_Mon,2456610.8442205423,ULMO
