name_match,fehI,fehII,err_fehI,err_fehII
WY_Ant,-1.82,-1.77,0.14,0.16
BS_Aps,-1.51,-1.44,0.14,0.16
XZ_Aps,-1.65,-1.65,0.14,0.16
DN_Aqr,-1.77,-1.74,0.14,0.16
SW_Aqr,-1.39,-1.36,0.14,0.16
X_Ari,-2.60,-2.60,0.14,0.16
RR_Cet,-1.57,-1.56,0.14,0.16
W_Crt,-0.76,-0.74,0.14,0.16
DX_Del,-0.52,-0.58,0.14,0.16
SX_For,-1.80,-1.79,0.14,0.16
DT_Hya,-1.43,-1.35,0.14,0.16
V_Ind,-1.62,-1.59,0.14,0.16
SS_Leo,-2.36,-2.32,0.14,0.16
ST_Leo,-1.32,-1.29,0.14,0.16
Z_Mic,-1.46,-1.46,0.14,0.16
RV_Oct,-1.47,-1.44,0.14,0.16
UV_Oct,-1.69,-1.69,0.14,0.16
V445_Oph,-0.05,-0.19,0.14,0.16
AV_Peg,-0.14,-0.20,0.14,0.16
HH_Pup,-0.95,-0.90,0.14,0.16
AN_Ser,0.06,0.03,0.14,0.16
VY_Ser,-1.88,-1.87,0.14,0.16
V1645_Sgr,-1.81,-1.79,0.14,0.16
W_Tuc,-1.77,-1.74,0.14,0.16
CD_Vel,-1.71,-1.73,0.14,0.16
AS_Vir,-1.59,-1.54,0.14,0.16
ST_Vir,-0.85,-0.86,0.14,0.16
UU_Vir,-0.93,-0.92,0.14,0.16
