name|phi|Nsp|Teff|log(g)|[M/H]|xi|fehI|err_fehI|o_[Fe/H]I|fehII|err_fehII|o_[Fe/H]II
AS014500|0.055|6|7650|3.70|-2.00|3.0|-1.98|0.29|16|-1.94|0.22|11
AS014500|0.146|6|7500|3.50|-2.00|3.0|-1.95|0.12|24|-1.95|0.26|14
AS014500|0.247|7|7200|2.90|-2.00|2.5|-2.04|0.20|26|-2.01|0.22|19
AS014500|0.353|7|6700|2.80|-2.00|2.5|-2.09|0.29|34|-2.05|0.24|22
AS014500|0.451|6|6950|3.00|-2.00|3.2|-2.09|0.22|26|-2.12|0.26|17
AS014500|0.566|5|6950|3.00|-2.00|2.6|-1.98|0.25|24|-2.00|0.26|15
AS014500|0.661|5|7050|3.20|-2.00|2.5|-2.02|0.21|22|-1.99|0.20|13
AS014500|0.743|6|7650|3.50|-2.00|2.5|-1.99|0.18|15|-2.00|0.18|11
AS014500|0.834|6|7650|4.00|-2.00|2.5|-2.01|0.18|8|-1.97|0.26|5
AS023706|0.049|5|7150|2.10|1.90|2.3|-1.86|0.17|48|-1.86|0.14|33
AS023706|0.161|5|7000|2.10|-1.90|2.0|-1.82|0.14|61|-1.80|0.12|35
AS023706|0.255|5|6850|2.10|-1.90|2.3|-1.84|0.12|64|-1.82|0.13|38
AS023706|0.355|6|6650|2.10|-1.90|2.5|-1.85|0.13|74|-1.85|0.14|39
AS023706|0.461|5|6650|2.40|-1.90|2.4|-1.79|0.14|74|-1.79|0.15|35
AS023706|0.589|5|6650|2.40|-1.90|2.4|-1.83|0.14|64|-1.82|0.15|33
AS023706|0.747|6|7000|2.60|-1.80|2.6|-1.77|0.14|60|-1.79|0.12|35
AS023706|0.857|6|7300|2.60|1.80|2.0|-1.87|0.14|35|-1.88|0.18|27
AS023706|0.959|5|7300|2.60|-1.80|2.2|-1.89|0.16|39|-1.87|0.11|28
AS081933|0.417|4|7300|3.70|-2.50|1.5|-2.52|0.16|18|-2.53|0.23|13
AS081933|0.922|2|7500|3.70|-2.20|2.0|-2.48|0.35|6|-2.54|0.28|5
AS085254|0.278|2|6900|2.70|-1.60|2.7|-1.65|0.33|21|-1.67|0.23|19
AS085254|0.557|2|7400|2.50|-1.50|3.2|-1.59|0.26|18|-1.62|0.22|16
AS085254|0.998|2|7500|2.70|-1.50|2.7|-1.55|0.19|32|-1.54|0.22|25
AS090900|0.039|2|7400|2.50|-1.80|2.5|-1.90|0.20|19|-1.93|0.23|13
AS090900|0.189|4|7200|2.50|-1.80|3.3|-1.97|0.26|17|-1.98|0.17|13
AS094541|0.047|8|7400|3.00|-2.00|2.8|-1.99|0.19|18|-1.96|0.18|18
AS094541|0.147|8|7200|2.60|-2.00|2.1|-1.97|0.21|26|-1.94|0.20|21
AS094541|0.247|8|7100|2.70|-2.00|2.7|-1.91|0.26|26|-1.91|0.22|20
AS094541|0.355|10|6650|2.20|-2.00|2.2|-2.03|0.21|36|-2.04|0.23|17
AS094541|0.452|13|6750|2.60|-2.00|2.6|-1.99|0.17|36|-1.98|0.20|18
AS094541|0.544|6|6600|2.30|-2.00|2.7|-1.95|0.23|33|-1.98|0.25|17
AS094541|0.708|6|6600|2.30|-2.00|2.3|-2.04|0.24|26|-2.04|0.25|16
AS094541|0.947|8|7400|3.10|-2.00|2.3|-1.98|0.19|17|-1.97|0.30|14
AS095328|0.141|8|7150|2.00|-1.50|2.4|-1.59|0.15|54|-1.59|0.15|31
AS095328|0.248|15|7000|2.10|-1.50|2.4|-1.53|0.14|57|-1.55|0.15|34
AS095328|0.343|8|7000|2.10|-1.50|2.4|-1.53|0.17|56|-1.51|0.15|34
AS095328|0.448|8|7000|2.30|-1.40|2.0|-1.38|0.19|61|-1.38|0.13|36
AS095328|0.545|6|7000|2.30|-1.40|2.4|-1.34|0.17|69|-1.34|0.18|35
AS095328|0.619|5|6600|1.90|-1.60|2.4|-1.54|0.16|68|-1.59|0.16|32
AS101332|0.052|7|7000|2.20|-1.50|3.0|-1.53|0.23|46|-1.51|0.21|27
AS101332|0.143|6|6850|2.20|-1.50|2.8|-1.41|0.20|44|-1.36|0.20|28
AS101332|0.249|7|6800|2.30|-1.50|3.2|-1.43|0.16|49|-1.40|0.22|32
AS101332|0.353|8|6650|2.10|-1.50|3.2|-1.42|0.19|55|-1.46|0.20|30
AS101332|0.449|14|6600|2.30|-1.50|3.1|-1.47|0.19|63|-1.44|0.15|33
AS101332|0.540|10|6550|2.10|-1.50|3.3|-1.52|0.21|63|-1.54|0.20|34
AS101332|0.670|10|6700|2.10|-1.50|3.2|-1.60|0.21|60|-1.59|0.15|33
AS110522|0.104|2|7300|2.30|-1.60|1.7|-1.73|0.22|22|-1.72|0.22|19
AS110522|0.286|4|7300|3.20|-1.50|2.1|-1.48|0.18|26|-1.46|0.26|25
AS110522|0.488|4|7250|3.60|-1.70|2.5|-1.63|0.23|25|-1.61|0.18|14
AS110522|0.654|2|7100|3.10|-1.80|2.7|-1.90|0.22|19|-1.91|0.23|13
AS110522|0.860|4|7100|2.50|-1.70|1.5|-1.86|0.22|24|-1.82|0.21|19
AS110522|0.936|2|7000|2.60|-1.80|1.9|-1.80|0.27|19|-1.84|0.22|11
AS123811|0.052|7|7600|2.90|-1.20|2.5|-1.29|0.22|27|-1.28|0.20|23
AS123811|0.151|7|7750|3.20|-1.10|3.3|-1.11|0.22|26|-1.10|0.25|29
AS123811|0.253|7|7150|2.60|-1.30|3.0|-1.31|0.20|39|-1.32|0.22|26
AS123811|0.359|7|7150|2.60|-1.30|2.9|-1.31|0.22|41|-1.30|0.21|26
AS123811|0.452|6|7100|2.60|-1.20|3.3|-1.20|0.24|40|-1.23|0.27|26
AS123811|0.529|7|6950|3.00|-1.30|3.2|-1.25|0.25|35|-1.26|0.25|29
AS123811|0.666|5|7100|2.60|-1.20|3.3|-1.20|0.24|40|-1.23|0.27|26
AS123811|0.755|6|7400|3.30|-1.20|3.0|-1.13|0.22|32|-1.16|0.24|15
AS123811|0.845|6|7700|3.60|-1.20|3.2|-1.05|0.24|28|-1.07|0.25|23
AS123811|0.945|7|7700|2.60|-1.30|2.5|-1.21|0.21|27|-1.22|0.24|18
AS132225|0.112|6|6650|2.40|-1.00|3.2|-0.94|0.26|64|-0.94|0.21|28
AS132225|0.222|6|6800|2.60|1.00|3.1|-0.94|0.25|68|-0.93|0.22|31
AS132225|0.335|6|6800|2.30|-1.00|3.1|-1.02|0.23|52|-0.99|0.20|32
AS132225|0.448|6|7100|2.40|-1.00|3.0|-1.03|0.20|51|-1.02|0.18|31
AS132225|0.548|5|7200|2.10|-1.00|2.9|-0.95|0.30|42|-0.93|0.27|26
AS132225|0.724|5|7200|2.00|-1.00|2.8|-0.94|0.21|57|-0.94|0.21|33
AS132225|0.821|5|7100|2.10|-1.00|3.1|-0.93|0.18|57|-0.96|0.18|31
AS132448|0.050|7|7300|2.50|-2.20|2.5|-2.19|0.15|14|-2.18|0.26|11
